,LABEL,transactions
0,Positive,arrow bit bought bow buy correct decide did draw easy eventually far feel felt figure fine getting good got great guess guide husband instruction just kid lb like limb ll long need needed photo practice read review reviewer said say screw setup shelf shoot shooting shot shoulder target thought ultimately update use wa wanted way white year
1,Negative,bad bow company ha half having help hope just look maybe package people purchase string thank thought tried twist wa way worth
2,Positive,archery arrow awesome bag big bought bow box come company day easier end far felt figure folk good got great ha instruction lb limb look make mounting new nice option owned peice problem read recommend recurve recurves rest riser setting shoot shooting shot simple star string stringer time ve video wa wife year
3,Negative,accessory arrow beat better bow button came cheap come compound contact did far felt giving groove ha just keeping light like limb lower really recurve rest returning seller slightly stabilizer star string tell tried twisted twisting use wa wanted way work
4,Positive,able accurate added allow archer archery arrow attachment beat beginner bought bow buy cheap come compound couple day decided did disappointed don draw equipment experienced fit good half hard heavy help highly hit hope hunt hunting husband inch just lb let light like limb little long looking love lower make mentioned mind piece price quality really recommend recurve rest review riser rubber set shelf shoot shooting shoulder small step string tell tip upper use used wanted weight wife write year
5,Negative,accurate arrow bad bow dont limb little maybe money pretty recommend said shoot shooting starting upper use ya yard
6,Positive,add added amazon archer archery arm arrow backyard bought bow box break buy came come comfortable decide decided different doesn don easily eventually expensive extra feel fine great ha hand handle happy heavy help hit hole hope hunting inch isn just kid lb level like ll long look love metal middle money nice overall package people pretty pro professional pull purchased recurve review reviewer right sage shoot shooting sight slightly string stringer sure target tell use used ve video wa want wanted watched week work ya yard
7,Negative,arrow bow bowstring day direction limb lower making maybe middle new problem second set shoot shooting shot snap string time took ultimately went
8,Positive,added additional amazing arrow attached awesome better black bow came case chance changed compound customer deal don easily easy folk getting got great grip ha head hunting idea included isn issue just like limb logo mentioned metal need negative people photo plastic price pro purchased really reason recurve recurves rest review riser rubber set setup sight stabilizer standard step string stringer sure tapped think trip used ve work write
9,Negative,bow carefully changed damaged expensive half lb limb month really string upper used year
10,Positive,add arrow bow did higher just rest shelf shoot shooting string
11,Negative,able bad bow box disappointed end good help hunt im instruction let limb looking read say shoot string taken thing trust twisted warped wouldnt
12,Positive,add ago archery arrow attachment black bolt bought bow break broke comfortable doesn fit good got happy hold hole just lb light limb little look lot month needed nice predrilled recurve rest riser shoot shooting sight standard straight string strung tip upper use wa way
13,Negative,accessory archer arrow attached better broke buy customer description good guess instruction need professional quality reason rest right son time used wrong
14,Positive,accessory amazon arrow best black bought bow break case compound definitely dont easy feel good got grip ha hand hole hunting im just light like limb little logo making mind month nice overall point practice price probably purchased really recurve review shoot shooting shot similar standard straight stringer target test trip twisting update used value wa weight wont wouldnt wrong year
15,Negative,arm bow contact figure im issue limb look manufacturer review set shoot shot string sure time twisted way
16,Positive,accessory archery arrow assemble beginner big bought bow carefully correct direction easy game hunting husband inch keeping limb lower make maybe need properly set setting shoot shooting sight simple small strung sure time upper video wa wanted worth yard year
17,Negative,backyard bow currently different disappointed doesn guide ha hunting limb owned practice purchased recommend son twist upper use ve
18,Positive,able add arrow bag best bow button comfortable day deal definitely did didn different feel fine good got grip ha hand hole idea included lb letting like limb look lot make manufacturer mounting plastic price problem pull read recommend replace rest riser set sight snap stabilizer standard string stringer survival trust wa work worth
19,Negative,better bow buying day equipment limb little money sage shoot similar warped
20,Positive,archer arrow bag bit bolt bow come currently description did doe don experienced far feel game ha handle happy hold hole hope idea love mention mounting need nice overall piece point purchase really rest sight simple standard string stringer sure tapped thing time use week
21,Negative,ago crap draw groove just letting option peice snapped string test wa
22,Positive,accurate allow amazing archer archery beginner bow break comfortable damaged don draw easily extra getting good grip ha having highly level limb little long looking lower metal mind overall practice purchased recommend recurve shooting time weight wont
23,Negative,arrow better buy fired light limb maybe month use
24,Positive,archer archery arrow bag biscuit bow chance come currently decided didn doe experienced fine got hole just like ll long looking lot money predrilled probably problem rest review said say shelf shoot shooting sight starting string taken think use ve wa whisker worth
25,Negative,day great limb riser snapped took
26,Positive,amazon arrow black bow broke buy buying couple different draw flimsy game giving good great happy head inch just lb little long maybe mention need nice plastic really recurve rest riser rubber shoot thank want wanted went white
27,Negative,additional ago archery arrow assemble better bow bowstring broke cheap compound decided dont draw easy good hard higher hold hunting im option plastic price probably really recurve replace rest returning screw second seller shot strength string survival value wa want way weight wouldnt
28,Positive,able arm arrow assemble biscuit bow come compound couple crap didn easier flimsy good got great hard help just limb make money need piece plastic pretty price recurve rest rubber screw shoot shot strength string stringer use used video watched way whisker
29,Negative,arrow bow day disappointed fired ha limb looking lower maybe negative properly review
